process_shortreads v2.62, executed 2023-02-13 17:06:45 (zlib-1.2.11)
process_shortreads -p /home/breitba1/scratch/plates1_2_fastq/ -o /home/breitba1/scratch/step03_clean/plates1_2/ -c -t 110
File	Retained Reads	Low Quality	Ambiguous Barcodes	Trimmed Reads	Orphaned paired-end reads	Total
40559-1.2_R2_2A11_R2_val_2.fq	2043244	84	0	0	0	2043328
40559-1.2_R2_2A1_R2_val_2.fq	2206619	196	0	0	0	2206815
40559-1.2_R2_2A2_R2_val_2.fq	3540646	230	0	0	0	3540876
40559-1.2_R2_2A3_R2_val_2.fq	2928751	215	0	0	0	2928966
40559-1.2_R2_2A4_R2_val_2.fq	2970051	190	0	0	0	2970241
40559-1.2_R2_2A5_R2_val_2.fq	3640663	149	0	0	0	3640812
40559-1.2_R2_2A6_R2_val_2.fq	2107071	85	0	0	0	2107156
40559-1.2_R2_2A7_R2_val_2.fq	1598255	58	0	0	0	1598313
40559-1.2_R2_2A8_R2_val_2.fq	2746609	91	0	0	0	2746700
40559-1.2_R2_2A9_R2_val_2.fq	3115060	109	0	0	0	3115169
40559-1.2_R2_2B10_R2_val_2.fq	4892753	187	0	0	0	4892940
40559-1.2_R2_2B11_R2_val_2.fq	1977488	68	0	0	0	1977556
40559-1.2_R2_2B1_R2_val_2.fq	3707336	294	0	0	0	3707630
40559-1.2_R2_2B2_R2_val_2.fq	2348490	162	0	0	0	2348652
40559-1.2_R2_2B3_R2_val_2.fq	2060835	175	0	0	0	2061010
40559-1.2_R2_2B4_R2_val_2.fq	4402770	283	0	0	0	4403053
40559-1.2_R2_2B5_R2_val_2.fq	1980511	77	0	0	0	1980588
40559-1.2_R2_2B6_R2_val_2.fq	3195827	112	0	0	0	3195939
40559-1.2_R2_2B7_R2_val_2.fq	2089549	90	0	0	0	2089639
40559-1.2_R2_2B8_R2_val_2.fq	4015071	140	0	0	0	4015211
40559-1.2_R2_2B9_R2_val_2.fq	1401460	53	0	0	0	1401513
40559-1.2_R2_2C11_R2_val_2.fq	3519440	122	0	0	0	3519562
40559-1.2_R2_2C1_R2_val_2.fq	1460239	125	0	0	0	1460364
40559-1.2_R2_2C2_R2_val_2.fq	1107323	87	0	0	0	1107410
40559-1.2_R2_2C3_R2_val_2.fq	3149900	274	0	0	0	3150174
40559-1.2_R2_2C4_R2_val_2.fq	2446600	164	0	0	0	2446764
40559-1.2_R2_2C5_R2_val_2.fq	2259716	92	0	0	0	2259808
40559-1.2_R2_2C6_R2_val_2.fq	1937353	83	0	0	0	1937436
40559-1.2_R2_2C7_R2_val_2.fq	4004171	146	0	0	0	4004317
40559-1.2_R2_2C8_R2_val_2.fq	2561181	99	0	0	0	2561280
40559-1.2_R2_2C9_R2_val_2.fq	2685446	97	0	0	0	2685543
40559-1.2_R2_2D10_R2_val_2.fq	2885178	96	0	0	0	2885274
40559-1.2_R2_2D11_R2_val_2.fq	5263311	180	0	0	0	5263491
40559-1.2_R2_2D1_R2_val_2.fq	2746654	232	0	0	0	2746886
